,Team,MatchID,Split No.,Delta Time,Weakly Connected,Strongly Connected,Average Shortest Path,Radius,Diameter,Eccentricity Mean,Central Node,Average Eigenvector Centrality,Density,Mean Clustering
138,Barcelona,3750201,0,9,Error,Error,2.5694444444444446,3,6,4.444444444444445,Sergio Busquets i Burgos,0.31582481947139546,0.2361111111111111,0.21481481481481482
139,Barcelona,3750201,1,36,Error,Error,1.3454545454545455,2,3,2.090909090909091,Andrés Iniesta Luján,0.29136295520511885,0.6636363636363637,0.7563206432667962
140,Barcelona,3750201,2,20,Error,Error,1.518181818181818,2,3,2.272727272727273,Andrés Iniesta Luján,0.28678430471096467,0.5272727272727272,0.6559596358841835
141,Barcelona,3750201,3,25,Error,Error,1.6,2,3,2.272727272727273,Andrés Iniesta Luján,0.280990721469654,0.45454545454545453,0.560797699121174
142,Barcelona,3750201,4,0,Error,Error,Error,Error,Error,Error,Error,Error,0.0,Error
143,Manchester United,3750201,0,8,Error,Error,2.022222222222222,3,4,3.2,Anderson Luis de Abreu Oliveira,0.28114513770155414,0.3111111111111111,0.3177114260008997
144,Manchester United,3750201,1,35,Error,Error,1.4272727272727272,2,3,2.1818181818181817,Anderson Luis de Abreu Oliveira,0.29357008949861707,0.5909090909090909,0.6446237238816331
145,Manchester United,3750201,2,20,Error,Error,1.5545454545454545,2,4,2.3636363636363638,Carlos Alberto Tevez,0.2801798927095663,0.509090909090909,0.5376322985579536
146,Manchester United,3750201,3,25,Error,Error,1.5757575757575757,2,3,2.3333333333333335,Michael Carrick,0.276354925684001,0.48484848484848486,0.5136307001009177
147,AC Milan,3750200,0,43,Error,Error,1.4545454545454546,2,3,2.272727272727273,Alessandro Nesta,0.282751288063299,0.5818181818181818,0.6284424732162731
148,AC Milan,3750200,1,0,Error,Error,0.6666666666666666,Error,Error,Error,Error,Error,0.3333333333333333,0
149,AC Milan,3750200,2,12,Error,Error,1.981818181818182,3,4,3.3636363636363638,Andrea Pirlo,0.27480079595184853,0.3,0.4083000333000333
150,AC Milan,3750200,3,19,Error,Error,1.5888888888888888,Error,Error,Error,Error,0.2806941460381803,0.35555555555555557,0.5458881725890712
151,AC Milan,3750200,4,7,Error,Error,1.7222222222222223,Error,Error,Error,Error,0.280291819926815,0.32222222222222224,0.5511651404151404
152,AC Milan,3750200,5,4,Error,Error,1.0238095238095237,Error,Error,Error,Error,0.2771267134684095,0.2619047619047619,0.08095238095238096
153,Liverpool,3750200,0,43,Error,Error,1.5545454545454545,2,3,2.4545454545454546,Boudewijn Zenden,0.2714269429142801,0.5272727272727272,0.5608165362984381
154,Liverpool,3750200,1,0,Error,Error,0.5,Error,Error,Error,Error,Error,0.5,0
155,Liverpool,3750200,2,12,Error,Error,1.8,2,4,2.727272727272727,Boudewijn Zenden,0.2892879557189679,0.38181818181818183,0.41203984356044104
156,Liverpool,3750200,3,17,Error,Error,1.6727272727272726,2,3,2.5454545454545454,Daniel Munthe Agger,0.2940985721976951,0.42727272727272725,0.41400313970787433
157,Liverpool,3750200,4,9,Error,Error,1.9666666666666666,Error,Error,Error,Error,0.2581264548557827,0.25555555555555554,0.3482854864433812
158,Liverpool,3750200,5,4,Error,Error,1.119047619047619,Error,Error,Error,Error,Error,0.16666666666666666,0
159,AC Milan,2302764,0,22,Error,Error,1.6222222222222222,2,3,2.3,Alessandro Nesta,0.3000926324556548,0.45555555555555555,0.5828712685101747
160,AC Milan,2302764,1,16,Error,Error,1.7363636363636363,2,4,2.5454545454545454,Alessandro Nesta,0.29076105487172677,0.41818181818181815,0.5399087273677606
161,AC Milan,2302764,2,6,Error,Error,1.8194444444444444,2,3,2.6666666666666665,Andrea Pirlo,0.322232829784277,0.3472222222222222,0.23519250405215317
162,AC Milan,2302764,3,6,Error,Error,1.8777777777777778,2,4,3,Andrea Pirlo,0.2911742212553308,0.35555555555555557,0.4574802025173542
163,AC Milan,2302764,4,30,Error,Error,1.3818181818181818,Error,Error,Error,Error,0.27614474817725776,0.4636363636363636,0.5998795626614639
164,AC Milan,2302764,5,6,Error,Error,1.6527777777777777,2,3,2.3333333333333335,Alessandro Nesta,0.31824053756595605,0.4305555555555556,0.5442072095043232
165,AC Milan,2302764,6,15,Error,Error,1.7272727272727273,2,4,2.909090909090909,Alessandro Nesta,0.27629301591125843,0.4,0.523216506130068
166,AC Milan,2302764,7,4,Error,Error,1.9090909090909092,Error,Error,Error,Error,0.2533445567449872,0.2545454545454545,0.37406759906759907
167,AC Milan,2302764,8,8,Error,Error,1.3888888888888888,Error,Error,Error,Error,0.2888828228852291,0.3472222222222222,0.3935401018734352
168,Liverpool,2302764,0,21,Error,Error,1.6,2,3,2.4545454545454546,Djimi Traoré,0.2829236841949888,0.4727272727272727,0.5590326327707311
169,Liverpool,2302764,1,15,Error,Error,1.7454545454545454,2,4,3.272727272727273,Jamie Carragher,0.2637371972942728,0.42727272727272725,0.4848784306697627
170,Liverpool,2302764,2,6,Error,Error,1.4777777777777779,Error,Error,Error,Error,0.2853051528195578,0.37777777777777777,0.494000041142528
